mapping, replan, sfc, mpc, df, 
0, 0.00026, 0.005314, 3.17946, 0.006611, 
0, 0.000259, 0.005704, 3.23641, 0.005704, 
0, 0.000185, 0.005612, 2.96078, 0.01313, 
0, 0.000222, 0.005778, 3.18104, 0.006112, 
0, 0.000259, 0.006445, 9.72063, 0.020186, 
0, 0.000444, 0.009241, 3.90668, 0.006704, 
0, 0.000203, 0.037963, 3.2405, 0.006796, 
0, 0.000204, 0.006389, 3.07959, 0.007796, 
0, 0.000296, 0.029241, 3.06822, 0.008092, 
0, 0.000203, 0.005074, 2.9793, 0.006834, 
6.89791, 0.000204, 0.004981, 2.94911, 0.00713, 
0, 0.000223, 0.005371, 3.40082, 0.007222, 
0, 0.000204, 0.004889, 3.83239, 0.005723, 
0, 0.000278, 0.005537, 3.6502, 0.006352, 
0, 0.000463, 0.004871, 2.87437, 0.008055, 
0, 0.000222, 0.005518, 4.74639, 0.006519, 
0, 0.000333, 0.005648, 3.22911, 0.007259, 
0, 0.000222, 0.005259, 3.5308, 0.006926, 
0, 0.000223, 0.005315, 3.27456, 0.006667, 
6.60485, 0.000278, 0.005204, 2.99306, 0.006833, 
0, 0.000222, 0.005537, 3.08874, 0.124982, 
0, 0.000204, 0.00526, 2.97248, 0.0065, 
0, 0.000426, 0.005055, 3.25143, 0.006167, 
0, 0.000259, 0.006463, 4.08207, 0.010186, 
0, 0.000204, 0.005167, 3.21632, 0.011241, 
0, 0.000815, 0.012889, 3.29946, 0.007074, 
0, 0.000204, 0.03013, 3.26537, 0.007592, 
0, 0.000222, 0.00487, 3.49474, 0.006593, 
0, 0.000259, 0.029574, 3.84413, 0.00637, 
0, 0.000222, 0.005741, 3.46926, 0.008, 
0, 0.000426, 0.009519, 5.47563, 0.007611, 
8.34389, 0.000223, 0.005129, 3.46087, 0.006297, 
0, 0.000222, 0.005019, 3.07898, 0.007407, 
0, 0.000203, 0.005334, 3.4538, 0.005889, 
0, 0.000204, 0.005556, 3.16676, 0.007833, 
0, 0.000222, 0.005389, 3.29691, 0.006555, 
0, 0.000259, 0.005518, 3.02026, 0.007093, 
0, 0.000222, 0.005629, 2.99219, 0.00613, 
